qlc_ratio,tlc_ratio,wafer_qlc_dedicated,wafer_tlc_dedicated,wafer_qlc_combo,wafer_tlc_combo,combo_bit_total,combo_cost_total,combo_cost_per_bit,dedicated_bit_total,dedicated_cost_total,dedicated_cost_per_bit,combo_bit_total_gb,dedicated_bit_total_gb,combo_cost_per_gb,dedicated_cost_per_gb,five_year_combo_bit_total,five_year_combo_bit_total_gb,five_year_combo_sale_bit_total,five_year_combo_sale_bit_total_gb,five_year_combo_cost_total,five_year_combo_cost_per_bit,five_year_combo_cost_per_gb,five_year_dedicated_bit_total,five_year_dedicated_bit_total_gb,five_year_dedicated_sale_bit_total,five_year_dedicated_sale_bit_total_gb,five_year_dedicated_cost_total,five_year_dedicated_cost_per_bit,five_year_dedicated_cost_per_gb,one_year_combo_bit_total,one_year_combo_bit_total_gb,one_year_combo_sale_bit_total,one_year_combo_sale_bit_total_gb,one_year_combo_cost_total,one_year_combo_cost_per_bit,one_year_combo_cost_per_gb,one_year_dedicated_bit_total,one_year_dedicated_bit_total_gb,one_year_dedicated_sale_bit_total,one_year_dedicated_sale_bit_total_gb,one_year_dedicated_cost_total,one_year_dedicated_cost_per_bit,one_year_dedicated_cost_per_gb
0,100,0.0,75000.0,0.0,78000.0,632736000.0,39054.0,6.172242451828251e-05,1098240000.0,43592.0,3.969259906759907e-05,79092000.0,137280000.0,0.0004937793961462601,0.00031754079254079254,31962808905.881397,3995351113.2351747,31956006163.203568,3994500770.400446,2340054.0,7.321177581390265e-05,0.0005856942065112212,59109034629.2085,7388629328.651063,59096621459.375916,7387077682.421989,2610092.0,4.415724290496589e-05,0.0003532579432397271,3388631949.0554686,423578993.63193357,3386894189.081594,423361773.63519925,468054.0,0.00013812476746861315,0.0011049981397489052,7514428932.381068,939303616.5476335,7508417389.235164,938552173.6543955,522092.0,6.947859973100667e-05,0.0005558287978480533
5,95,4250.0,71250.0,4000.0,74100.0,680971200.0,39104.0,5.742386755856929e-05,1130313600.0,44052.0,3.8973254855997486e-05,85121400.0,141289200.0,0.00045939094046855433,0.0003117860388479799,34796236363.76074,4349529545.470093,34780880755.22005,4347610094.402506,2343054.0,6.733642039632258e-05,0.0005386913631705806,60835287117.81152,7604410889.72644,60805523721.96294,7600690465.245367,2637692.0,4.335792802114892e-05,0.00034686342416919135,3849636931.174952,481204616.396869,3841594805.405355,480199350.6756694,468654.0,0.00012173979218787305,0.0009739183375029844,7733884413.701742,966735551.7127178,7719470372.74963,964933796.5937037,527612.0,6.822082821217962e-05,0.0005457666256974369
10,90,8500.0,67500.0,8000.0,70200.0,729206400.0,39154.0,5.369398842357939e-05,1162387200.0,44512.0,3.8293608188390235e-05,91150800.0,145298400.0,0.0004295519073886351,0.0003063488655071219,37629663821.64008,4703707977.70501,37614308213.09939,4701788526.6374235,2346054.0,6.234586657802748e-05,0.0004987669326242198,62561539606.414536,7820192450.801817,62531776210.56595,7816472026.320744,2665292.0,4.260272392220225e-05,0.000340821791377618,4310641913.2944355,538830239.1618044,4302599787.5248375,537824973.4406047,469254.0,0.00010885942498558635,0.0008708753998846908,7953339895.022417,994167486.8778021,7938925854.070305,992365731.7587881,533132.0,6.703246774775208e-05,0.0005362597419820166
15,85,12750.0,63750.0,12000.0,66300.0,777441600.0,39204.0,5.042693882087092e-05,1194460800.0,44972.0,3.76504611955453e-05,97180200.0,149307600.0,0.00040341551056696735,0.0003012036895643624,40463091279.519424,5057886409.939928,40447735670.97873,5055966958.872341,2349054.0,5.8054239696436246e-05,0.00046443391757148997,64287792095.01756,8035974011.877195,64258028699.16897,8032253587.396121,2692892.0,4.188807722654244e-05,0.0003351046178123395,4771646895.413918,596455861.9267397,4763604769.644321,595450596.2055402,469854.0,9.846788966123664e-05,0.0007877431172898931,8172795376.343091,1021599422.0428864,8158381335.390978,1019797666.9238722,538652.0,6.590792687153013e-05,0.0005272634149722411
20,80,17000.0,60000.0,16000.0,62400.0,825676800.0,39254.0,4.754160465693114e-05,1226534400.0,45432.0,3.7040950502488963e-05,103209600.0,153316800.0,0.0003803328372554491,0.0002963276040199117,43296518737.39877,5412064842.174847,43281163128.85808,5410145391.10726,2352054.0,5.4324321414052556e-05,0.00043459457131242045,66014044583.620575,8251755572.952572,65984281187.77199,8248035148.4714985,2720492.0,4.1210806233117994e-05,0.00032968644986494395,5232651877.5334015,654081484.6916752,5224609751.763804,653076218.9704756,470454.0,8.990737603239247e-05,0.0007192590082591398,8392250857.663765,1049031357.2079706,8377836816.711653,1047229602.0889566,544172.0,6.484219897967714e-05,0.0005187375918374171
25,75,21250.0,56250.0,20000.0,58500.0,873912000.0,39304.0,4.4974780069389136e-05,1258608000.0,45892.0,3.646250460826564e-05,109239000.0,157326000.0,0.0003597982405551131,0.0002917000368661251,46129946195.27811,5766243274.409763,46114590586.73741,5764323823.342176,2355054.0,5.105260669567104e-05,0.00040842085356536834,67740297072.2236,8467537134.02795,67710533676.375015,8463816709.546877,2748092.0,4.056805356300739e-05,0.00032454442850405913,5693656859.6528845,711707107.4566106,5685614733.883287,710701841.7354109,471054.0,8.273312066591908e-05,0.0006618649653273526,8611706338.98444,1076463292.373055,8597292298.032326,1074661537.2540407,549692.0,6.383078780933257e-05,0.0005106463024746606
30,70,25500.0,52500.0,24000.0,54600.0,922147200.0,39354.0,4.267648375443747e-05,1290681600.0,46352.0,3.5912807620407695e-05,115268400.0,161335200.0,0.00034141187003549977,0.00028730246096326156,48963373653.157455,6120421706.644682,48948018044.61676,6118502255.577095,2358054.0,4.8159549150019373e-05,0.000385276393200155,69466549560.82663,8683318695.103329,69436786164.97803,8679598270.622253,2775692.0,3.995724586219063e-05,0.00031965796689752504,6154661841.7723675,769332730.2215459,6146619716.00277,768327464.5003463,471654.0,7.663361726859344e-05,0.0006130689381487475,8831161820.305115,1103895227.5381393,8816747779.353,1102093472.419125,555212.0,6.286964402842496e-05,0.0005029571522273997
35,65,29749.999999999996,48750.0,28000.0,50700.0,970382400.0,39404.0,4.060667217377397e-05,1322755200.0,46811.99999999999,3.5389768265511256e-05,121297800.0,165344400.0,0.00032485337739019174,0.00028311814612409005,51796801111.0368,6474600138.8796,51781445502.4961,6472680687.812013,2361054.0,4.558300801122078e-05,0.00036466406408976627,71192802049.42963,8899100256.178703,71163038653.58105,8895379831.697632,2803291.9999999995,3.9376059366980045e-05,0.00031500847493584036,6615666823.8918495,826958352.9864812,6607624698.122252,825953087.2652816,472254.0,7.138418734971654e-05,0.0005710734987977324,9050617301.625788,1131327162.7032235,9036203260.673676,1129525407.5842094,560731.9999999999,6.19551110507428e-05,0.0004956408884059424
40,60,34000.0,45000.0,32000.0,46800.0,1018617600.0,39454.0,3.87328866102451e-05,1354828800.0,47272.0,3.48914933015891e-05,127327200.0,169353600.0,0.0003098630928819608,0.0002791319464127128,54630228568.916145,6828778571.114518,54614872960.37546,6826859120.046932,2364054.0,4.327373437615662e-05,0.00034618987500925294,72919054538.03265,9114881817.254082,72889291142.18407,9111161392.773008,2830892.0,3.882239036058101e-05,0.0003105791228846481,7076671806.011333,884583975.7514167,7068629680.241736,883578710.030217,472854.0,6.68186985297708e-05,0.0005345495882381665,9270072782.946463,1158759097.8683078,9255658741.99435,1156957342.7492938,566252.0,6.10838785475014e-05,0.0004886710283800112
45,55,38250.0,41250.0,36000.0,42900.0,1066852800.0,39504.0,3.702853852002826e-05,1386902400.0,47732.0,3.4416264619630045e-05,133356600.0,173362800.0,0.00029622830816022607,0.00027533011695704036,57463656026.79549,7182957003.349436,57448300418.25479,7181037552.281849,2367054.0,4.119219283395813e-05,0.00032953754267166506,74645307026.63568,9330663378.32946,74615543630.7871,9326942953.848387,2858492.0,3.8294329728994274e-05,0.0003063546378319542,7537676788.130816,942209598.516352,7529634662.361219,941204332.7951524,473454.0,6.281166111361038e-05,0.000502493288908883,9489528264.267136,1186191033.033392,9475114223.315023,1184389277.914378,571772.0,6.0252942409477846e-05,0.00048202353927582277
